client_name,segment,service_status,invoice_amount,invoice_due_date,invoice_status
Global LLC 949,zombi,suspendido,27936.35,2026-03-12,pendiente
Mega Partners 260,zombi,activo,20298.82,2025-12-29,pendiente
Mega LLC 223,grande,cancelado,15513.50,2026-04-17,anulada
Alpha Solutions 113,estandar,cancelado,4304.08,2026-06-02,pagada
Alpha Enterprises 574,grande,cancelado,3737.13,2026-06-11,pendiente
Prime Corp 755,estandar,activo,42018.38,2026-05-17,pendiente
Alpha Solutions 812,startup,suspendido,22645.54,2025-12-19,pendiente
Zenith Corp 70,startup,suspendido,46711.94,2025-12-25,anulada
Prime Group 272,estandar,activo,13955.84,2026-02-24,anulada
Zenith Inc 557,startup,cancelado,6186.13,2026-05-22,anulada
Zenith Group 445,grande,cancelado,43518.84,2026-07-02,pagada
Global Enterprises 439,zombi,cancelado,6269.66,2026-01-21,pagada
Next Partners 29,estandar,activo,2182.39,2026-01-12,pagada
Next Solutions 520,estandar,cancelado,19847.26,2026-03-28,anulada
Zenith Partners 334,grande,suspendido,11018.54,2026-05-21,anulada
Mega LLC 223,grande,cancelado,34955.05,2026-07-05,vencida
Core Inc 846,grande,activo,12359.91,2026-01-21,pendiente
Next LLC 965,startup,activo,7301.74,2026-06-17,pagada
Mega LLC 58,estandar,activo,6537.08,2026-06-09,pendiente
Core Group 604,grande,suspendido,21795.08,2026-03-31,anulada
Alpha LLC 227,grande,cancelado,35956.81,2026-03-19,pagada
Prime Enterprises 949,startup,activo,6464.37,2026-04-12,pendiente
Mega Enterprises 672,estandar,activo,44315.83,2026-01-12,pendiente
Zenith LLC 470,zombi,activo,17825.73,2025-12-18,anulada
Core Inc 100,estandar,suspendido,23984.53,2026-02-04,anulada
Global LLC 986,startup,suspendido,35217.29,2026-01-31,anulada
Alpha Partners 726,estandar,suspendido,14673.87,2026-07-07,anulada
Alpha Enterprises 574,grande,cancelado,8729.07,2026-06-02,anulada
Core Group 416,startup,suspendido,47759.58,2025-12-25,pendiente
Zenith Corp 70,startup,suspendido,16602.05,2026-05-22,anulada
Alpha Solutions 920,grande,activo,46135.48,2026-01-11,anulada
Zenith Partners 557,startup,cancelado,44478.51,2026-04-08,anulada
Prime Enterprises 123,estandar,cancelado,49207.77,2026-03-16,pagada
Zenith LLC 46,startup,suspendido,19783.29,2026-07-08,pendiente
Alpha Solutions 812,startup,suspendido,36955.26,2026-07-12,anulada
Prime Group 67,estandar,cancelado,44087.76,2026-04-06,pagada
Next Partners 29,estandar,activo,41060.43,2026-04-02,anulada
Zenith Group 445,grande,cancelado,8280.51,2026-07-13,anulada
Zenith LLC 46,startup,suspendido,13091.78,2026-04-04,pendiente
Mega LLC 223,grande,cancelado,45958.24,2026-06-01,pagada
Alpha Enterprises 495,zombi,activo,19538.46,2026-01-23,pagada
Mega Solutions 128,grande,cancelado,48727.65,2026-04-04,pendiente
Global LLC 125,grande,activo,30706.74,2026-01-07,pagada
Global Solutions 927,estandar,cancelado,9288.05,2026-07-10,anulada
Next LLC 194,zombi,cancelado,45889.31,2026-06-05,pendiente
Core Partners 938,estandar,suspendido,15463.68,2026-02-28,pagada
Mega Group 584,startup,suspendido,21871.86,2026-01-26,pendiente
Zenith Group 445,grande,cancelado,11753.15,2026-02-26,anulada
Core Group 416,startup,suspendido,21437.14,2026-03-27,anulada
Global LLC 949,zombi,suspendido,24717.78,2026-03-23,pagada
Alpha Enterprises 574,grande,cancelado,13010.53,2026-02-24,pagada
Global Corp 376,startup,cancelado,45540.81,2026-01-06,pendiente
Core Partners 4,startup,suspendido,41758.90,2026-05-18,anulada
Mega Enterprises 672,estandar,activo,49066.00,2026-05-05,anulada
Next LLC 194,zombi,cancelado,29208.08,2026-06-22,vencida
Core Corp 102,startup,activo,18668.01,2026-04-07,anulada
Mega Group 291,startup,cancelado,30102.09,2026-02-04,anulada
Prime Group 67,estandar,cancelado,17771.99,2026-05-09,pendiente
Next Solutions 520,estandar,cancelado,44462.77,2026-02-10,anulada
Global Group 81,grande,activo,16775.52,2025-12-21,pendiente
Alpha LLC 227,grande,cancelado,8538.65,2026-03-04,pendiente
Prime Solutions 447,zombi,cancelado,3462.76,2026-03-17,anulada
Prime Solutions 447,zombi,cancelado,40777.97,2025-12-28,pendiente
Tech Enterprises 901,grande,suspendido,25095.20,2026-07-08,pendiente
Mega Group 584,startup,suspendido,17390.17,2026-06-30,pagada
Tech Group 907,grande,suspendido,15926.40,2026-04-29,pagada
Alpha Partners 195,startup,cancelado,49702.49,2026-06-19,vencida
Global LLC 986,startup,suspendido,999.39,2026-06-14,pendiente
Alpha Corp 111,zombi,activo,40409.92,2026-03-23,anulada
Tech Partners 261,startup,suspendido,8649.03,2026-05-06,anulada
Next LLC 965,startup,activo,40253.09,2026-02-11,pendiente
Next LLC 194,zombi,cancelado,22150.15,2026-03-05,pendiente
Alpha Corp 489,grande,suspendido,16246.54,2026-03-16,pendiente
Global Partners 778,startup,activo,23045.61,2026-05-04,pendiente
Prime Group 67,estandar,cancelado,17041.88,2026-06-27,pagada
Prime Inc 662,zombi,cancelado,47366.14,2026-05-28,pagada
Global Solutions 927,estandar,cancelado,5604.17,2026-05-16,anulada
Core LLC 170,zombi,activo,41284.56,2026-05-11,anulada
Mega LLC 119,estandar,suspendido,43137.76,2026-05-23,anulada
Alpha Solutions 538,zombi,suspendido,37195.60,2026-03-20,pendiente
